ID,animal,fecha,time,altura,mo2ind,mo2gh,mo2gs_umol_h_gdrymass,dias,exper1,masa,fecha2,time2,dias2,masa_seca_gram
83,6,04/21/11,0.743055556,5.875369065,0.016529651,1.08462278,4.338113628,0,E1,15.24,40654.74306,0.743055556,0,3.77179504
84,6,04/21/11,0.772916667,5.31705597,0.02278125,1.494832677,5.978810449,0,E1,15.24,40654.77292,0.772916667,0,3.77179504
85,6,04/21/11,0.817361111,4.142416721,0.009733807,0.638701235,2.554582646,0,E1,15.24,40654.81736,0.817361111,0,3.77179504
86,6,04/21/11,0.847222222,3.259251338,0.019092857,1.252812148,5.010812567,0,E1,15.24,40654.84722,0.847222222,0,3.77179504
87,6,04/21/11,0.892361111,2.046302955,0.03189375,2.092765748,8.370334629,0,E1,15.24,40654.89236,0.892361111,0,3.77179504
88,6,04/21/11,0.971180556,1.101044293,0.018939706,1.242762853,4.970618883,0,E1,15.24,40654.97118,0.971180556,0,3.77179504
197,6,04/22/11,1.003125,1.305558869,0.010446037,0.685435471,2.741503328,0,E1,15.24,40656.00313,1.003125,0,3.77179504
198,6,04/22/11,0.030555556,1.740921835,0.010071711,0.660873394,2.643263567,1,E1,15.24,40655.03056,1.030555556,0,3.77179504
199,6,04/22/11,0.058333333,2.165903542,0.006725893,0.441331552,1.765172609,1,E1,15.24,40655.05833,1.058333333,0,3.77179504
200,6,04/22/11,0.104166667,3.149773991,0.004970455,0.326145311,1.304467734,1,E1,15.24,40655.10417,1.104166667,0,3.77179504
201,6,04/22/11,0.134027778,4.177065326,0.019526786,1.281285152,5.124694671,1,E1,15.24,40655.13403,1.134027778,0,3.77179504
202,6,04/22/11,0.163541667,4.836096641,0.01207936,0.792608954,3.170159959,1,E1,15.24,40655.16354,1.163541667,0,3.77179504
203,6,04/22/11,0.194444444,5.288260099,0.012083967,0.792911246,3.171369021,1,E1,15.24,40655.19444,1.194444444,0,3.77179504
204,6,04/22/11,0.245138889,5.35735265,0.01188587,0.779912701,3.119379365,1,E1,15.24,40655.24514,1.245138889,0,3.77179504
205,6,04/22/11,0.275694444,5.032516321,0.019092857,1.252812148,5.010812567,1,E1,15.24,40655.27569,1.275694444,0,3.77179504
206,6,04/22/11,0.353125,3.434542384,0.014175,0.93011811,3.720148724,1,E1,15.24,40655.35313,1.353125,0,3.77179504
207,6,04/22/11,0.382986111,2.760010577,0.020225305,1.327119743,5.308017082,1,E1,15.24,40655.38299,1.382986111,0,3.77179504
208,6,04/22/11,0.4125,2.203687296,0.009940909,0.652290623,2.608935469,1,E1,15.24,40655.4125,1.4125,0,3.77179504
209,6,04/22/11,0.456944444,1.734455871,0.015325568,1.00561471,4.022108847,1,E1,15.24,40655.45694,1.456944444,0,3.77179504
210,6,04/22/11,0.486458333,1.729875295,0.013557622,0.88960774,3.55812134,1,E1,15.24,40655.48646,1.486458333,0,3.77179504
89,7,04/21/11,0.410763889,1.391970965,0.0074925,0.535561115,2.080135525,0,E1,13.99,40654.41076,0.410763889,0,3.55836254
90,7,04/21/11,0.457638889,1.26707645,0.006627273,0.473714991,1.839923315,0,E1,13.99,40654.45764,0.457638889,0,3.55836254
91,7,04/21/11,0.502777778,1.879927617,0.012011932,0.858608422,3.334861008,0,E1,13.99,40654.50278,0.502777778,0,3.55836254
92,7,04/21/11,0.546875,3.002970267,0.002025,0.144746247,0.562198791,0,E1,13.99,40654.54688,0.546875,0,3.55836254
93,7,04/21/11,0.594444444,4.427131974,0.003763859,0.269039221,1.044956448,0,E1,13.99,40654.59444,0.594444444,0,3.55836254
94,7,04/21/11,0.624652778,5.237637564,0.021615698,1.545082035,6.00114523,0,E1,13.99,40654.62465,0.624652778,0,3.55836254
95,7,04/21/11,0.669097222,6.03297417,0.014175,1.013223731,3.935391534,0,E1,13.99,40654.6691,0.669097222,0,3.55836254
96,7,04/21/11,0.698958333,6.199977682,0.012446341,0.889659862,3.455465738,0,E1,13.99,40654.69896,0.698958333,0,3.55836254
97,7,04/21/11,0.74375,5.865214928,0.015046221,1.07549828,4.177267758,0,E1,13.99,40654.74375,0.74375,0,3.55836254
98,7,04/21/11,0.773611111,5.301377597,0.016272321,1.163139487,4.517668853,0,E1,13.99,40654.77361,0.773611111,0,3.55836254
99,7,04/21/11,0.818055556,4.122142351,0.012011932,0.858608422,3.334861008,0,E1,13.99,40654.81806,0.818055556,0,3.55836254
100,7,04/21/11,0.847916667,3.23886115,0.01215,0.868477484,3.373192744,0,E1,13.99,40654.84792,0.847916667,0,3.55836254
101,7,04/21/11,0.893402778,2.022342634,0.017449468,1.247281493,4.844478941,0,E1,13.99,40654.8934,0.893402778,0,3.55836254
102,7,04/21/11,0.971875,1.101726189,0.0091125,0.651358113,2.529894558,0,E1,13.99,40654.97188,0.971875,0,3.55836254
211,7,04/22/11,1.004166667,1.317989238,0.007159821,0.511781374,1.987774295,0,E1,13.99,40656.00417,1.004166667,0,3.55836254
212,7,04/22/11,0.031944444,1.768452631,0.0091125,0.651358113,2.529894558,1,E1,13.99,40655.03194,1.031944444,0,3.55836254
213,7,04/22/11,0.059722222,2.199181712,0.008244643,0.589324007,2.288952219,1,E1,13.99,40655.05972,1.059722222,0,3.55836254
214,7,04/22/11,0.104861111,3.130592599,0.013461648,0.962233576,3.737344233,1,E1,13.99,40655.10486,1.104861111,0,3.55836254
215,7,04/22/11,0.134722222,4.194454438,0.010197321,0.728900745,2.831072481,1,E1,13.99,40655.13472,1.134722222,0,3.55836254
216,7,04/22/11,0.164236111,4.849254055,0.008688663,0.621062387,2.412225044,1,E1,13.99,40655.16424,1.164236111,0,3.55836254
217,7,04/22/11,0.195138889,5.295018027,0.014659239,1.047836964,4.069830376,1,E1,13.99,40655.19514,1.195138889,0,3.55836254
218,7,04/22/11,0.245833333,5.352773329,0.014461141,1.033677005,4.014832668,1,E1,13.99,40655.24583,1.245833333,0,3.55836254
219,7,04/22/11,0.276388889,5.022388595,0.011282143,0.806443378,3.132250405,1,E1,13.99,40655.27639,1.276388889,0,3.55836254
220,7,04/22/11,0.353819444,3.418267034,0.0103275,0.738205861,2.867213832,1,E1,13.99,40655.35382,1.353819444,0,3.55836254
221,7,04/22/11,0.383680556,2.745319639,0.018002744,1.286829443,4.99808437,1,E1,13.99,40655.38368,1.383680556,0,3.55836254
222,7,04/22/11,0.413194444,2.192584059,0.007455682,0.532929365,2.069913729,1,E1,13.99,40655.41319,1.413194444,0,3.55836254
223,7,04/22/11,0.457986111,1.729929701,0.008505,0.607934239,2.361234921,1,E1,13.99,40655.45799,1.457986111,0,3.55836254
224,7,04/22/11,0.4875,1.734394339,0.014807813,1.058456934,4.111078657,1,E1,13.99,40655.4875,1.4875,0,3.55836254
103,8,04/21/11,0.411458333,1.384419783,0.01134,0.830769231,3.201566651,0,E1,13.65,40654.41146,0.411458333,0,3.5003089
104,8,04/21/11,0.458333333,1.271244642,0.008284091,0.606893107,2.338806807,0,E1,13.65,40654.45833,0.458333333,0,3.5003089
